purID,productID,cost,amount
22,31,1.94,2
22,54,10.06,2
22,43,1.72,3
22,153,2.24,3
22,3,1.01,3
23,19,4.02,3
23,150,1.16,1
23,134,8.98,4
23,59,2.27,4
23,22,7.21,2
23,29,8.83,1
23,12,1.61,3
24,123,2.0,1
24,9,1.94,2
25,34,2.31,2
25,16,2.22,4
25,68,2.52,1
25,58,2.25,3
26,12,1.47,4
26,124,1.78,4
26,109,3.15,1
26,85,2.1,2
27,18,4.35,1
27,29,9.44,3
27,32,2.97,2
28,128,2.37,4
28,14,1.85,4
28,20,7.66,2
28,58,2.41,3
28,131,36.82,3
29,78,2.45,2
29,39,6.52,2
29,127,6.28,3
29,54,16.13,3
29,59,2.53,2
29,101,1.71,1
29,115,6.01,2
29,129,17.83,4
30,126,8.65,1
30,40,5.7,2
31,91,1.84,4
31,50,12.06,3
32,93,3.15,4
32,117,6.15,3
32,103,3.86,1
32,137,2.21,2
32,14,1.89,2
33,102,1.25,2
33,150,1.73,1
33,132,4.74,3
33,29,5.92,2
33,87,5.54,2
34,46,13.46,4
34,68,2.58,4
34,3,1.15,3
34,37,6.88,3
34,103,3.86,1
34,107,10.07,3
35,55,18.52,1
35,2,1.57,3
35,137,0.68,2
35,133,8.05,4
36,143,2.86,4
36,16,2.3,4
36,9,1.78,1
37,59,2.24,2
37,64,1.26,3
37,154,2.62,1
37,107,9.44,1
38,138,9.19,4
38,44,16.17,2
38,7,1.49,3
38,149,60.84,2
38,124,2.0,3
38,102,1.75,1
38,45,24.74,2
38,136,12.83,2
39,121,4.4,4
39,40,4.83,2
39,27,8.59,1
39,119,1.2,1
39,35,2.91,3
39,104,1.86,1
40,32,4.85,4
40,149,74.54,1
40,96,6.87,2
41,133,11.14,3
41,3,1.07,4
41,66,2.76,2
41,115,4.99,4
41,46,8.79,1
41,84,1.35,4
41,130,18.32,1
42,137,0.99,4
42,5,0.86,4
42,44,19.53,4
42,39,6.62,2
42,4,1.06,4
42,110,5.7,3
42,79,2.96,2
43,47,23.75,3
43,77,2.02,3
43,19,3.96,2
43,30,2.0,2
43,8,1.26,2
43,111,1.39,4
44,148,1.92,1
44,127,5.27,1
44,110,5.42,2
44,72,0.56,1
44,54,8.06,1
45,114,1.77,4
45,24,7.35,1
45,134,7.01,4
45,39,5.97,4
45,125,0.52,1
46,32,2.97,2
46,111,1.05,4
46,10,1.55,1
46,35,3.74,4
47,29,9.37,2
47,28,2.58,4
47,8,1.06,1
47,54,11.68,1
48,77,2.02,4
48,24,7.63,4
48,121,3.59,1
48,126,8.03,2
49,79,2.88,2
49,73,0.74,2
49,141,26.53,3
49,133,12.59,4
49,4,0.98,2
49,136,11.5,1
49,114,1.63,4
50,15,2.09,3
50,75,0.9,2
51,146,0.91,3
51,127,4.6,1
51,148,2.14,2
51,53,17.02,2
51,77,2.34,1
51,96,6.44,4
51,115,4.69,4
51,49,9.8,3
52,105,0.96,1
52,42,1.91,3
52,3,1.25,1
52,33,2.63,4
52,111,1.1,3
52,55,17.01,4
52,6,1.76,4
53,18,4.05,4
53,37,5.99,1
53,112,1.7,4
53,74,1.25,2
53,92,1.66,3
53,14,1.74,3
54,2,1.43,1
54,92,2.75,4
54,147,6.31,2
54,130,14.99,2
55,105,0.9,3
55,4,1.11,1
56,18,3.56,1
56,55,19.27,2
56,98,6.03,3
57,27,6.62,2
57,15,1.47,3
57,8,1.51,1
58,116,1.08,3
58,51,13.78,2
58,23,6.58,2
58,30,1.39,1
58,37,6.47,2
58,28,1.8,3
59,109,3.26,4
59,111,1.12,2
59,8,1.23,2
60,117,4.4,3
60,35,3.41,1
60,85,2.01,3
60,44,18.65,2
60,47,25.18,4
60,27,10.29,1
60,32,2.99,2
60,133,7.94,4
61,122,2.21,1
61,134,9.15,2
61,82,0.91,4
61,57,2.35,1
61,108,2.69,1
61,13,1.06,1
61,88,5.96,2
61,126,7.17,2
62,44,18.75,2
62,34,3.26,1
63,109,3.7,4
63,117,5.1,3
63,129,17.83,1
63,24,6.87,3
63,101,1.71,3
63,61,4.09,3
63,152,2.94,4
64,117,5.43,2
64,113,6.69,1
64,59,2.47,2
64,129,17.51,2
65,96,7.35,1
65,51,13.78,1
65,79,3.06,2
65,57,1.88,3
65,88,6.0,2
66,135,0.58,4
66,47,24.36,4
66,98,6.01,1
67,59,2.47,2
67,136,11.5,4
67,11,1.13,2
67,52,21.09,1
67,121,4.91,2
68,83,3.29,4
68,12,1.8,2
69,28,1.8,4
69,1,1.7,3
69,48,16.89,1
69,146,0.93,2
70,38,5.64,3
70,33,2.03,3
71,19,3.84,4
71,84,1.43,1
71,129,12.56,1
71,142,36.05,1
71,65,3.61,1
71,30,2.02,3
72,49,10.0,4
72,66,2.5,2
73,134,11.53,1
73,26,3.84,2
73,55,14.72,3
73,33,2.35,3
74,22,8.28,3
74,83,2.07,1
74,32,5.07,3
74,49,9.8,2
74,33,3.78,1
74,71,0.52,4
75,68,2.8,4
75,43,2.03,1
75,14,1.79,2
76,99,4.82,2
76,41,7.8,2
76,89,4.71,4
76,33,2.79,1
76,5,1.12,4
76,140,19.88,1
77,44,17.87,4
77,97,5.08,3
77,41,8.18,3
77,148,2.18,3
77,126,7.17,2
77,57,2.31,1
77,31,1.95,2
78,79,3.28,4
78,131,23.58,4
78,48,18.81,1
78,22,7.93,3
78,153,2.09,2
78,13,1.25,2
79,54,14.31,3
79,151,1.47,2
79,82,0.72,3
79,34,2.4,3
79,40,5.61,2
79,28,2.58,2
79,9,1.83,1
80,151,1.87,4
80,16,2.29,2
80,91,1.67,3
80,113,5.49,4
80,71,0.54,4
80,56,1.54,3
80,39,5.82,1
81,110,5.4,1
81,12,1.76,4
81,3,1.15,4
82,14,1.68,1
82,84,1.59,3
82,99,4.35,1
82,133,10.52,4
83,5,0.82,3
83,68,1.49,2
83,134,15.49,3
83,136,9.11,4
83,36,4.91,3
83,118,5.26,1
84,56,1.54,4
84,133,9.63,1
84,111,1.12,4
85,149,77.83,4
85,23,5.15,4
85,1,1.63,4
85,58,2.5,1
86,73,0.7,4
86,76,1.22,1
86,118,4.29,4
86,53,23.88,3
86,12,1.47,1
86,129,13.97,3
87,109,2.74,3
87,17,3.8,2
88,71,0.57,3
88,122,2.04,3
88,108,3.01,4
88,99,3.62,2
88,31,2.15,1
88,54,9.97,4
89,115,4.45,1
89,96,4.43,4
89,67,2.43,4
89,53,28.98,1
89,109,3.77,1
90,89,4.35,3
90,114,1.04,3
90,20,7.29,4
90,98,5.51,3
90,119,1.2,1
90,123,2.38,1
90,131,25.89,3
90,61,3.23,1
91,146,0.91,2
91,72,0.56,1
91,47,18.32,3
91,95,4.03,1
91,152,0.79,1
91,13,1.34,2
92,114,1.37,4
92,82,0.86,4
92,143,4.32,1
92,36,3.86,3
93,61,3.82,1
93,21,6.31,1
93,66,2.73,4
93,56,2.12,1
93,50,11.71,3
93,68,2.67,2
93,89,4.27,2
94,85,2.18,3
94,112,1.81,3
94,46,11.78,2
95,143,4.95,4
95,56,1.91,4
95,39,7.29,4
96,84,1.32,4
96,34,2.74,3
96,80,3.93,1
96,66,2.73,2
96,20,7.21,2
97,46,10.75,4
97,81,4.63,2
97,30,1.69,4
97,112,1.85,3
97,123,2.64,2
97,14,1.74,3
97,121,6.35,3
97,22,6.65,4
98,129,11.24,4
98,26,3.42,1
98,117,7.17,2
98,97,5.32,4
99,107,10.56,3
99,95,3.78,1
99,32,3.78,4
99,66,2.53,2
99,101,1.31,1
99,99,3.81,3
100,116,1.03,1
100,124,1.81,2
100,30,1.43,1
100,141,26.58,3
100,21,6.44,1
100,96,5.93,4
100,28,2.93,2
100,121,6.47,4
101,13,1.38,4
101,138,10.32,4
102,38,5.11,2
102,52,18.63,2
102,140,21.13,4
102,123,2.26,4
102,85,2.02,2
102,78,2.99,1
103,81,4.08,4
103,42,1.91,2
103,72,0.74,4
104,40,5.58,1
104,113,4.62,4
104,109,3.7,3
104,85,2.18,1
104,60,4.19,1
104,81,4.34,4
105,142,33.26,4
105,32,3.11,1
105,61,4.13,1
105,4,1.15,2
105,89,3.96,1
105,40,6.45,2
105,20,7.55,4
105,29,9.01,4
106,31,2.14,3
106,95,3.64,2
107,58,2.23,3
107,11,0.89,2
107,34,2.44,3
108,144,20.07,2
108,9,1.55,3
108,132,4.69,2
108,142,38.24,4
109,76,1.93,2
109,67,2.47,4
110,33,2.6,2
110,94,3.12,1
110,97,5.57,1
110,133,8.26,3
110,28,4.46,4
110,44,21.12,3
110,21,7.15,3
111,53,26.66,4
111,74,1.84,1
111,102,1.41,4
111,7,1.51,1
111,145,0.96,4
111,101,0.9,3
112,147,8.29,1
112,85,2.0,3
112,132,4.37,4
112,89,4.16,3
113,125,0.41,2
113,139,0.65,2
113,41,7.24,4
113,88,5.33,3
113,123,2.36,2
113,4,1.24,2
114,70,3.12,1
114,69,2.91,1
114,142,36.05,2
114,98,5.51,2
115,60,3.49,2
115,137,2.93,3
116,84,1.22,1
116,82,0.42,2
116,32,3.87,2
116,28,3.32,1
116,1,1.91,1
116,95,3.64,1
116,112,1.49,4
117,140,17.81,3
117,128,2.09,2
118,41,7.03,2
118,20,6.95,4
118,23,6.68,2
118,55,16.75,1
119,5,1.01,2
119,90,9.39,4
120,95,4.47,1
120,124,2.11,4
121,97,5.01,2
121,4,1.77,3
121,63,3.94,2
121,131,28.12,4
121,86,6.92,4
121,71,0.62,3
121,27,7.89,2
122,109,4.02,1
122,66,2.63,4
122,146,1.03,2
122,32,3.23,2
122,145,1.05,3
122,125,0.51,4
122,42,1.82,2
123,72,1.04,2
123,39,5.27,1
123,8,1.27,2
123,87,3.68,2
123,113,5.16,2
124,113,7.82,4
124,12,1.38,3
124,66,2.8,3
125,146,0.88,4
125,17,3.92,4
125,105,0.93,3
126,116,1.09,3
126,122,2.13,4
126,57,2.44,2
127,65,3.68,2
127,99,3.37,1
127,12,1.61,4
127,137,0.99,1
127,126,6.56,3
127,135,0.63,3
128,37,5.01,2
128,49,9.6,4
128,21,6.72,1
128,112,1.72,4
129,82,0.72,3
129,30,1.86,3
129,31,1.57,3
129,55,18.2,3
130,113,4.81,3
130,119,1.33,1
130,146,0.85,1
130,9,1.32,2
130,133,9.54,1
130,68,2.56,1
131,89,4.18,2
131,79,1.47,4
131,26,2.87,4
131,111,1.1,4
132,34,2.24,2
132,52,19.95,3
132,47,18.85,2
132,45,20.73,1
132,113,7.82,2
132,68,2.66,3
133,115,5.65,4
133,100,3.69,4
133,31,2.22,3
133,152,2.74,1
133,102,1.88,4
133,5,0.93,3
133,99,2.78,1
133,107,10.01,3
134,111,0.9,1
134,41,7.21,3
134,97,5.23,4
134,133,8.53,3
134,137,2.1,3
134,48,17.47,1
134,103,4.32,2
134,12,1.75,1
135,64,1.32,2
135,81,4.29,1
136,50,11.08,2
136,59,2.47,3
136,71,0.58,2
136,74,0.4,1
136,103,5.42,4
136,21,6.45,4
136,46,12.1,2
136,63,4.21,3
137,22,7.21,2
137,4,1.26,4
137,134,8.98,4
137,51,16.16,3
137,86,4.48,4
138,117,7.56,2
138,21,6.74,1
138,26,3.9,4
138,61,3.23,3
138,95,4.52,1
138,9,2.05,2
138,87,4.2,2
138,77,2.37,3
139,132,4.71,3
139,32,3.83,2
139,136,9.73,2
139,41,8.27,1
139,150,1.64,3
139,133,12.71,3
139,108,2.82,3
140,103,5.79,1
140,100,3.88,3
141,67,2.76,2
141,99,3.24,4
141,104,1.28,3
141,55,19.15,2
142,130,14.99,1
142,129,12.69,4
143,86,3.52,3
143,42,1.91,1
144,128,1.68,4
144,151,2.22,4
144,58,2.39,3
144,20,7.1,3
144,65,3.58,4
144,55,19.92,4
144,49,9.62,2
145,78,2.58,4
145,21,7.22,1
146,92,1.66,1
146,132,6.64,2
146,53,26.81,4
146,44,19.86,2
146,142,36.05,1
147,64,1.47,2
147,100,4.69,1
147,81,3.46,2
147,35,4.8,1
147,152,2.64,3
147,78,2.99,3
148,89,3.59,1
148,154,3.31,3
148,81,4.63,2
149,109,4.96,2
149,132,3.85,1
149,63,3.63,1
149,59,2.51,2
149,114,1.36,4
149,92,2.27,2
149,152,3.21,3
150,138,8.1,4
150,29,7.89,3
150,101,0.99,2
150,83,2.53,4
150,132,6.5,2
150,10,1.63,2
150,107,8.51,3
151,68,2.33,2
151,48,19.43,2
151,130,19.61,3
151,23,6.32,2
151,51,14.59,1
151,39,6.11,2
151,117,7.56,3
151,99,3.24,3
152,151,2.0,1
152,1,2.03,2
152,63,4.3,2
152,11,0.8,4
152,115,4.45,3
152,7,1.52,1
152,139,0.7,1
152,80,3.52,3
153,7,1.62,4
153,121,4.8,1
153,67,2.56,3
153,107,12.37,3
153,45,24.27,4
153,82,0.72,2
153,136,10.08,1
153,83,3.41,4
154,78,2.76,2
154,67,2.83,1
154,133,8.26,2
155,17,3.92,3
155,15,1.91,3
156,108,2.57,3
156,72,0.56,1
156,128,2.49,1
156,23,5.77,2
156,118,4.09,2
157,138,10.0,1
157,153,3.03,3
157,11,1.27,1
157,105,1.35,1
158,53,25.71,3
158,19,3.98,1
158,55,17.02,1
158,149,69.59,3
158,108,2.78,2
159,36,4.54,2
159,144,15.21,2
159,45,23.54,4
160,92,3.6,1
160,68,1.49,3
160,75,0.84,4
160,8,1.05,3
160,45,24.79,3
160,124,1.96,3
161,24,6.6,3
161,151,1.95,4
161,82,0.69,1
161,62,3.67,1
161,126,6.77,3
161,30,1.58,2
161,64,1.16,3
161,112,1.74,1
162,11,0.97,2
162,87,3.52,4
162,69,3.6,3
162,72,0.63,1
162,48,16.65,2
162,85,2.03,4
163,26,2.45,3
163,91,1.39,3
163,121,5.48,4
163,41,6.55,1
164,13,1.7,4
164,72,0.71,2
164,92,1.12,1
164,8,0.98,1
164,132,5.84,3
165,93,3.58,4
165,56,1.83,4
166,64,1.36,3
166,72,0.93,2
166,49,9.68,1
167,1,1.62,3
167,21,6.74,3
167,55,19.45,1
168,147,11.31,1
168,107,11.8,4
168,6,1.81,1
168,143,2.49,2
168,51,17.78,1
169,16,2.68,1
169,143,3.01,3
169,68,2.39,4
169,117,6.29,2
169,24,7.34,2
169,62,4.46,2
170,84,1.48,2
170,44,16.78,1
170,52,23.95,2
170,95,3.56,4
171,131,30.63,1
171,85,2.03,4
171,137,2.61,1
171,121,5.89,1
171,35,3.18,4
171,101,1.59,4
171,154,2.7,2
171,79,2.88,1
172,106,2.3,4
172,91,1.67,3
173,124,2.48,3
173,46,12.94,1
173,28,2.9,1
174,144,18.55,1
174,79,2.99,2
174,90,8.6,3
174,34,2.12,1
174,121,7.48,1
174,126,8.03,3
174,19,4.03,1
174,96,5.47,1
175,100,3.42,1
175,132,5.24,2
175,17,3.08,4
175,140,16.53,4
175,51,11.28,2
175,134,12.74,3
175,4,1.77,2
175,120,2.48,2
176,6,1.96,1
176,2,1.19,1
176,29,7.09,3
177,37,5.01,1
177,103,4.32,2
177,57,2.45,1
177,18,3.56,3
178,82,0.83,2
178,117,5.42,1
178,54,23.54,4
178,62,4.02,4
178,18,4.37,3
178,66,2.5,1
178,86,5.49,1
178,55,17.64,3
179,68,1.93,4
179,135,0.45,1
180,140,14.06,4
180,119,1.34,1
180,45,17.58,1
180,62,3.73,3
181,48,19.04,4
181,78,2.38,2
181,20,7.83,4
181,132,4.68,1
182,114,1.55,2
182,117,5.93,3
182,70,2.27,2
182,126,6.51,2
182,32,3.63,2
183,98,5.87,4
183,31,1.95,3
183,112,1.8,3
183,16,2.27,1
183,102,2.22,3
183,72,0.48,1
183,100,4.89,2
183,63,3.64,4
184,52,18.63,2
184,136,12.36,4
184,120,1.65,1
184,148,2.03,3
184,50,12.81,2
184,35,3.32,4
184,19,3.86,3
185,133,8.38,2
185,34,2.9,4
185,19,4.0,3
185,153,2.15,1
185,64,1.44,3
185,74,2.29,2
185,70,2.87,4
185,40,5.71,3
186,143,3.67,1
186,76,1.45,4
187,89,3.96,1
187,66,2.48,4
187,9,2.0,3
187,148,2.4,2
188,2,1.42,4
188,149,54.33,4
189,20,7.67,1
189,92,2.5,2
190,148,2.04,2
190,112,1.56,3
190,109,3.63,3
190,149,62.38,1
190,13,1.16,3
190,105,0.9,3
190,68,2.62,1
190,154,2.63,4
191,144,17.09,1
191,9,1.71,1
191,20,7.32,2
191,34,3.26,2
191,38,5.37,4
191,3,1.1,2
191,8,1.27,1
191,26,3.55,1
192,60,3.14,1
192,30,1.84,2
192,74,1.57,4
192,132,4.63,3
192,91,1.21,3
193,80,4.32,1
193,8,1.26,4
193,116,0.89,3
193,57,1.88,3
194,93,0.54,2
194,123,2.76,3
194,119,1.44,2
194,76,1.93,2
194,80,3.63,4
195,126,6.4,2
195,45,14.29,2
195,142,27.3,4
195,97,5.09,1
195,150,1.86,4
195,8,0.96,4
196,36,4.6,3
196,61,4.48,2
197,144,20.41,3
197,117,4.4,3
197,146,0.9,4
197,91,1.51,3
197,143,5.07,2
197,122,2.07,3
197,3,1.25,3
198,18,3.92,2
198,6,1.67,2
198,125,0.5,3
198,49,9.04,3
198,87,6.84,4
198,110,5.41,4
198,40,4.51,1
199,48,15.39,3
199,6,1.85,4
199,57,1.98,4
199,14,1.82,2
200,107,10.45,4
200,35,2.5,4
201,90,11.33,2
201,117,7.56,1
201,151,1.79,3
201,63,4.37,4
202,135,0.56,1
202,10,1.31,1
202,141,26.24,1
203,20,7.1,2
203,19,3.94,2
203,77,1.22,3
203,90,7.42,4
203,62,4.13,1
204,71,0.65,4
204,128,1.11,2
204,32,3.4,1
204,140,21.61,3
205,110,5.4,3
205,105,0.8,1
205,76,1.58,3
205,8,0.97,1
206,92,2.06,3
206,132,4.26,4
206,153,3.16,1
206,120,1.06,2
207,32,3.63,2
207,42,1.9,3
207,120,1.65,1
207,144,15.91,3
207,9,1.72,1
207,11,1.06,2
208,64,1.44,4
208,10,1.18,4
208,146,0.97,2
209,102,1.5,3
209,80,4.32,2
210,4,1.67,2
210,82,0.75,4
210,102,1.77,4
211,134,12.17,4
211,57,1.84,4
212,72,0.79,1
212,125,0.63,2
212,94,2.47,1
212,64,1.43,1
212,35,3.05,4
212,15,2.07,1
213,54,4.49,4
213,103,5.79,3
213,64,1.44,4
213,119,1.37,1
214,95,3.87,2
214,127,5.79,4
214,55,19.28,2
215,58,2.39,1
215,78,2.99,1
215,29,7.43,2
215,133,14.05,4
216,72,0.61,1
216,33,2.28,3
216,4,1.56,1
216,86,3.79,4
216,43,1.94,4
216,133,12.71,3
217,6,1.67,1
217,42,1.7,2
217,85,2.16,1
217,151,1.8,2
218,120,2.46,3
218,87,4.87,3
219,108,2.05,4
219,116,1.37,2
219,2,1.36,4
219,72,0.7,1
219,136,18.63,2
219,36,4.74,3
219,9,1.84,4
220,107,10.85,3
220,35,3.01,1
220,50,11.39,4
220,92,1.66,4
220,45,20.69,3
221,100,3.88,3
221,145,0.94,1
222,55,19.27,4
222,116,1.47,3
222,154,2.85,2
222,26,3.55,1
222,68,1.93,2
222,118,3.27,3
222,138,11.68,3
222,103,3.89,1
223,114,1.67,1
223,4,1.52,1
224,50,12.75,4
224,12,1.43,1
224,130,14.39,2
224,147,12.02,4
225,36,2.6,2
225,35,2.91,4
225,119,1.38,1
225,120,1.8,4
225,16,2.42,2
225,47,21.79,3
226,130,17.39,4
226,18,3.93,3
226,67,2.77,2
226,83,1.8,1
226,145,1.02,3
226,58,2.43,4
226,76,1.52,1
226,150,1.7,3
227,65,3.65,1
227,51,14.91,4
227,4,1.15,4
227,54,14.35,3
227,74,1.5,4
227,49,10.6,2
227,145,1.0,2
227,58,2.73,1
228,30,1.54,3
228,119,1.31,4
228,144,17.13,2
229,74,1.13,3
229,63,2.95,2
230,120,1.48,3
230,123,2.8,3
230,56,2.22,4
230,23,6.47,4
230,128,1.98,3
230,89,3.67,4
231,133,12.59,3
231,56,1.83,2
231,98,5.6,1
232,104,2.12,4
232,116,1.5,2
232,66,2.68,3
232,11,0.86,1
232,36,2.8,4
232,112,1.56,2
232,26,3.9,1
233,76,1.25,3
233,31,1.47,1
233,124,1.39,4
234,44,15.19,1
234,52,21.06,4
234,28,4.51,2
235,143,4.06,2
235,82,0.85,3
235,43,1.69,3
235,78,3.16,2
235,93,4.01,1
235,34,1.85,1
235,30,1.78,2
236,12,1.5,4
236,15,2.55,2
236,5,0.92,3
237,22,7.03,1
237,80,3.65,2
238,22,7.59,3
238,144,18.28,1
238,51,17.08,2
238,7,1.45,2
239,123,3.7,2
239,121,7.73,3
240,27,7.07,3
240,61,4.18,3
240,117,4.11,2
240,45,23.23,3
241,94,2.53,3
241,62,3.45,2
242,65,3.55,3
242,53,33.54,3
242,57,1.88,4
243,128,2.64,1
243,62,4.2,3
243,149,69.1,1
243,77,2.2,2
243,58,1.86,3
243,112,1.75,2
244,128,2.09,4
244,44,15.93,4
245,15,1.85,1
245,110,5.56,1
246,143,3.47,3
246,100,5.28,1
246,122,1.54,3
246,128,1.78,4
246,11,1.16,4
247,92,3.24,2
247,28,3.12,2
247,99,3.34,2
248,82,0.64,2
248,25,14.61,3
249,77,2.34,4
249,131,30.63,3
249,2,1.89,4
249,58,2.41,1
249,45,22.54,4
250,75,0.26,3
250,104,1.56,3
250,9,1.64,1
250,45,20.97,1
251,124,1.81,1
251,41,5.7,2
251,99,4.74,2
252,89,4.18,1
252,70,2.93,1
252,69,3.03,1
252,1,2.26,2
253,67,2.77,4
253,120,3.56,4
253,122,1.85,3
253,147,6.08,3
253,154,2.92,4
253,142,29.82,3
254,133,14.05,1
254,128,1.68,3
254,118,4.79,1
254,137,2.1,1
254,4,1.21,2
254,33,2.23,4
255,19,4.02,1
255,43,2.26,2
255,56,1.01,2
255,40,5.16,1
255,113,6.29,4
255,108,2.56,4
256,142,36.03,4
256,6,1.88,2
256,43,1.87,4
256,18,3.56,3
256,31,1.51,4
256,115,6.01,3
257,141,26.52,2
257,151,2.04,2
257,71,0.58,1
257,91,1.6,2
258,120,1.87,1
258,40,6.41,4
258,117,6.25,4
258,151,2.0,1
258,66,2.5,4
259,51,16.41,4
259,16,2.54,2
259,150,1.67,3
259,17,3.51,1
259,96,3.83,1
259,99,3.58,1
259,122,2.16,1
259,131,29.03,2
260,38,5.04,2
260,125,0.63,4
260,85,2.02,3
260,119,1.17,2
261,63,3.75,3
261,48,15.99,1
261,12,1.8,4
261,49,9.65,2
261,118,3.53,2
261,39,6.73,1
261,31,2.12,4
262,136,14.69,2
262,153,0.99,1
262,15,1.89,1
262,81,4.46,3
263,77,2.22,3
263,97,5.23,2
264,110,5.48,3
264,150,2.21,2
264,76,1.56,2
264,64,1.61,4
264,81,3.93,4
264,77,2.42,1
264,92,1.98,3
265,81,2.9,2
265,106,3.53,4
265,58,2.41,2
265,105,1.19,4
265,102,2.55,4
265,38,5.41,4
265,108,1.98,3
266,18,3.56,3
266,138,5.77,4
267,84,1.41,1
267,147,4.34,4
268,2,1.03,3
268,11,0.9,1
268,22,7.19,4
268,28,2.39,2
268,16,2.41,3
268,50,12.81,3
268,65,3.56,2
269,59,2.78,3
269,77,2.28,2
269,75,0.52,4
269,76,1.04,1
269,139,0.56,3
269,64,1.44,3
269,136,10.86,3
269,111,1.12,4
270,131,22.15,2
270,22,7.21,1
271,119,1.22,2
271,57,1.9,3
271,86,5.46,1
272,37,6.07,2
272,54,17.31,3
272,63,4.33,2
272,9,1.71,1
272,125,0.44,1
272,70,2.93,4
272,106,2.18,1
272,89,4.18,3
273,110,5.65,3
273,107,10.99,1
273,60,3.14,3
273,97,5.25,2
273,43,2.19,3
273,31,1.86,2
273,33,2.68,1
273,95,3.96,3
274,21,7.09,2
274,25,17.87,1
275,104,2.35,1
275,43,1.67,3
276,4,1.55,2
276,85,2.02,2
276,27,8.41,1
277,74,1.08,2
277,21,7.36,3
278,76,1.04,1
278,110,5.55,1
278,98,5.21,4
278,57,2.31,4
278,68,2.66,2
278,58,2.5,2
278,17,2.37,3
279,19,3.96,3
279,12,1.61,3
279,61,3.56,1
280,132,5.42,2
280,151,1.53,3
280,48,21.0,1
280,24,7.15,3
280,66,2.43,2
280,84,1.41,4
280,154,2.54,1
281,150,1.77,4
281,45,24.27,3
281,145,1.0,3
281,38,5.41,3
281,86,2.86,3
281,63,3.89,3
281,53,23.88,4
281,111,0.74,4
282,114,1.84,4
282,116,1.37,4
282,73,0.68,2
282,95,3.78,3
282,150,1.99,3
282,101,1.31,1
282,111,1.23,1
283,76,1.84,2
283,74,1.89,4
283,78,2.99,4
284,148,2.06,4
284,79,3.16,3
285,83,3.58,4
285,17,3.19,3
285,84,1.48,3
285,38,5.63,3
286,136,14.64,3
286,77,1.55,3
286,24,7.13,3
286,144,18.61,3
286,88,5.38,1
286,133,7.83,4
287,113,5.52,3
287,78,2.75,2
287,19,3.82,2
287,108,3.36,1
287,3,1.07,4
288,82,0.68,4
288,22,7.19,2
288,78,1.46,4
288,143,4.21,4
289,7,1.45,3
289,51,17.08,2
289,5,1.09,3
289,83,1.85,2
290,35,3.47,4
290,66,2.53,3
290,89,4.7,2
290,37,5.61,2
291,78,3.11,2
291,33,2.3,4
291,124,1.61,3
291,43,1.9,3
291,80,3.79,3
291,105,1.22,3
291,7,1.53,3
292,148,2.06,4
292,118,3.53,1
292,145,0.96,1
292,32,3.83,1
293,56,2.19,4
293,120,1.8,2
293,53,33.54,2
293,38,5.11,2
293,95,3.71,4
293,18,3.56,1
293,124,1.87,1
294,7,1.53,3
294,28,2.52,4
294,61,3.71,4
294,47,18.34,4
294,4,1.05,4
294,92,2.63,1
294,102,2.3,3
294,33,2.48,4
295,43,2.07,3
295,82,1.01,2
295,88,5.6,1
296,104,1.64,1
296,5,1.03,4
296,21,7.21,1
296,55,18.43,4
297,36,2.8,3
297,149,69.8,2
297,9,2.05,1
297,92,2.52,4
297,75,0.23,4
